SL,Timestamp,Age,Sex identity,In which university do you study?,Do you have knowledge regarding the current situation of the COVID-19 pandemic?,Where do you get most of the information regarding the COVID-19?,Are you worried about getting infected by the COVID-19?,Are you worried that your family members would get infected by COVID-19?,How do you feel about measures taken to prevent the spread of the COVID-19 in Bangladesh?,Are you worried about getting proper treatment if you are infected by covid-19?,"Before the lockdown, how often did you feel nervous or stressed?",Are your Studies being affected due to the lockdown?,Do you feel without the help of friends and teachers your studies are being affected?,Do you feel online classes are helping you in study?,Do you feel the lockdown is setting you back from your study goals? ,"Before lockdown, how often did you feel confident about your ability to handle your personal problems?",Where is your current location?,Which division do you live in?,Are you living with your family? ,What is the total monthly income of your family?,As a student have you ever been involved in any of the extracurricular activities during lockdown?,"Feeling nervous, anxious or on edge?","Feeling down, depressed, or hopeless?"
196,05-07-20 18:20,1,1,2,1,3,2,1,2,1,1,1,0,0,1,4,2,3,1,3,0,1,1
197,05-07-20 19:00,2,1,2,1,1,1,1,2,2,1,0,0,0,0,3,2,3,1,5,1,1,1
198,05-07-20 19:07,2,1,1,1,6,1,1,0,1,1,1,1,0,1,4,1,1,1,3,0,1,1
199,05-07-20 19:11,2,1,1,1,1,2,2,0,1,2,1,1,0,1,2,2,3,1,5,1,1,1
200,05-07-20 19:17,2,2,1,1,1,0,2,2,1,2,1,1,2,1,4,2,3,1,2,0,1,1
201,05-07-20 19:17,2,2,1,1,1,1,1,2,1,2,1,1,0,1,2,2,3,1,5,1,1,1
202,05-07-20 19:23,3,1,1,0,5,1,1,0,1,2,1,0,0,0,2,2,3,0,1,0,1,1
203,05-07-20 19:51,3,2,1,1,1,1,1,2,1,3,1,1,1,0,3,1,2,1,5,0,1,1
204,05-07-20 19:54,2,1,1,1,1,1,1,2,1,3,1,1,0,1,4,1,3,1,1,1,1,1
205,05-07-20 21:45,2,2,1,1,1,1,1,0,1,1,1,2,0,1,4,1,1,1,2,0,1,0
206,05-07-20 21:45,2,2,1,1,6,0,0,2,1,3,1,1,0,1,3,2,4,1,3,0,0,0
207,05-07-20 21:59,2,1,1,1,6,1,1,2,1,2,0,1,0,0,2,1,2,1,1,1,1,1
208,05-07-20 22:18,3,1,1,1,7,2,2,2,2,4,1,1,1,1,4,1,2,1,1,1,1,1
209,05-07-20 23:17,3,1,1,1,5,1,1,0,1,1,0,0,0,0,2,2,3,1,2,1,1,1
210,05-07-20 23:27,2,1,1,1,6,0,1,0,1,2,1,1,2,1,4,1,1,1,2,0,1,1
211,05-07-20 23:27,2,1,1,2,5,1,1,2,1,4,1,1,0,1,2,2,6,1,1,0,0,0
212,05-07-20 23:52,2,2,2,1,1,1,1,2,1,2,1,1,0,1,4,2,3,1,2,0,1,1
213,05-07-20 23:55,2,1,2,1,6,1,1,0,2,2,0,1,1,0,2,1,1,1,1,0,1,0
214,05-08-20 0:03,2,1,1,2,1,0,0,0,0,2,2,2,2,2,2,2,3,1,1,0,0,1
215,05-08-20 1:57,1,2,1,1,1,2,1,2,1,4,1,1,0,0,2,2,3,1,3,0,1,1
216,05-08-20 12:10,2,2,1,1,4,1,1,0,1,1,0,1,0,0,4,1,3,1,3,1,0,0
217,05-08-20 12:21,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,0,1,1
218,05-08-20 12:57,3,1,1,1,1,1,1,2,1,1,0,1,0,1,4,2,1,1,3,0,1,1
219,05-08-20 13:52,3,1,2,1,5,2,1,2,1,2,1,1,0,2,4,2,3,1,2,0,1,1
220,05-08-20 13:55,2,2,1,1,1,1,1,2,2,3,0,1,0,1,1,2,3,1,2,0,1,1
